SuiRate,Unemp,Vet,Arrest,Mental,Disable,uxa,uxm,uxd,uxv,vxa,vxm,vxd,axm,axd,mxd,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp15
17.7,0.339031752,11.4,4218,4.67,12.8,1430.035929,1.583278281,4.339606423,3.864961971,48085.2,53.238,145.92,19698.06,53990.4,59.776,8.7,0.939519253,75.69,2.949576241,0.114942529,2.163323026,658.503,2.056710116,0.013211785,-3.121015401,0.320408544,0.102661635,0.566046415,-0.469759626
18.6,0.372677996,11.1,4053.69,5.81,12.4,1510.721067,2.165259158,4.621207153,4.136725758,44995.959,64.491,137.64,23551.9389,50265.756,72.044,7.2,0.857332496,51.84,2.683281573,0.138888889,1.974081026,373.248,1.930978769,0.019290123,-2.847996907,0.351123977,0.123288047,0.592557151,-0.428666248
20.9,0.512989176,9.9,3545.05,4.98,13.5,1818.572279,2.554686097,6.925353877,5.078592843,35095.995,49.302,133.65,17654.349,47858.175,67.23,3.8,0.579783597,14.44,1.949358869,0.263157895,1.335001067,54.872,1.560490751,0.069252078,-1.925999419,0.519210956,0.269580017,0.720562944,-0.289891798
22.8,0.559016994,9.5,3369,5.61,14.2,1883.328254,3.136085338,7.93804132,5.310661447,32005.5,53.295,134.9,18900.09,47839.8,79.662,3.2,0.505149978,10.24,1.788854382,0.3125,1.16315081,32.768,1.473612599,0.09765625,-1.678071905,0.59592202,0.355123054,0.771959857,-0.252574989
9.5,0.319438282,8,4650,3.21,10.4,1485.388014,1.025396887,3.322158138,2.55550626,37200,25.68,83.2,14926.5,48360,33.384,9.8,0.991226076,96.04,3.130495168,0.102040816,2.282382386,941.192,2.139974961,0.010412328,-3.292781749,0.303694589,0.092230403,0.55108492,-0.495613038
10,0.333333333,7.8,4383.51,4.14,10.7,1461.17,1.38,3.566666667,2.6,34191.378,32.292,83.46,18147.7314,46903.557,44.298,9,0.954242509,81,3,0.111111111,2.197224577,729,2.080083823,0.012345679,-3.169925001,0.315464877,0.099518088,0.5616626,-0.477121255
10.2,0.333333333,7.5,4207,3.37,11.1,1402.333333,1.123333333,3.7,2.5,31552.5,25.275,83.25,14177.59,46697.7,37.407,9,0.954242509,81,3,0.111111111,2.197224577,729,2.080083823,0.012345679,-3.169925001,0.315464877,0.099518088,0.5616626,-0.477121255
10.8,0.375293313,7.1,3766,3.75,10.9,1413.354615,1.407349922,4.090697106,2.664582519,26738.6,26.625,77.39,14122.5,41049.4,40.875,7.1,0.851258349,50.41,2.664582519,0.14084507,1.960094784,357.911,1.921997343,0.019837334,-2.827819025,0.353629419,0.125053766,0.594667486,-0.425629174
10.6,0.40824829,6.8,3171,3.53,10.7,1294.555329,1.441116465,4.368256708,2.776088375,21562.8,24.004,72.76,11193.63,33929.7,37.771,6,0.77815125,36,2.449489743,0.166666667,1.791759469,216,1.817120593,0.027777778,-2.584962501,0.386852807,0.149655094,0.621974925,-0.389075625
11,0.415227399,6.5,2366.67,3.74,11,982.706229,1.552950473,4.567501392,2.698978095,15383.355,24.31,71.5,8851.3458,26033.37,41.14,5.8,0.763427994,33.64,2.408318916,0.172413793,1.757857918,195.112,1.796701779,0.029726516,-2.5360529,0.394313541,0.155483169,0.6279439,-0.381713997
11.5,0.451753951,6.2,2263,4.15,11.1,1022.319192,1.874778899,5.014468861,2.800874499,14030.6,25.73,68.82,9391.45,25119.3,46.065,4.9,0.69019608,24.01,2.213594362,0.204081633,1.589235205,117.649,1.698499252,0.041649313,-2.292781749,0.436151413,0.190228055,0.660417605,-0.34509804
13.5,0.333333333,9.9,3925,4.51,13.1,1308.333333,1.503333333,4.366666667,3.3,38857.5,44.649,129.69,17701.75,51417.5,59.081,9,0.954242509,81,3,0.111111111,2.197224577,729,2.080083823,0.012345679,-3.169925001,0.315464877,0.099518088,0.5616626,-0.477121255
14.4,0.347105067,9.6,3638.15,5.19,12.9,1262.8203,1.801475299,4.477655368,3.332208646,34926.24,49.824,123.84,18881.9985,46932.135,66.951,8.3,0.919078092,68.89,2.880972058,0.120481928,2.116255515,571.787,2.024693852,0.014515895,-3.053111336,0.327534731,0.107279,0.572306501,-0.459539046
14.4,0.360374985,9.3,3383,4.53,13.9,1219.148575,1.632498682,5.009212293,3.351487361,31461.9,42.129,129.27,15324.99,47023.7,62.967,7.7,0.886490725,59.29,2.774887385,0.12987013,2.041220329,456.533,1.974680822,0.016866251,-2.944858446,0.339574896,0.11531111,0.582730552,-0.443245363
14.4,0.40824829,8.9,2975,4.84,13.9,1214.538664,1.975921726,5.674651237,3.633409785,26477.5,43.076,123.71,14399,41352.5,67.276,6,0.77815125,36,2.449489743,0.166666667,1.791759469,216,1.817120593,0.027777778,-2.584962501,0.386852807,0.149655094,0.621974925,-0.389075625
14.5,0.456435465,8.6,3203,4.81,13.8,1461.962793,2.195454585,6.298809411,3.925344995,27545.8,41.366,118.68,15406.43,44201.4,66.378,4.8,0.681241237,23.04,2.19089023,0.208333333,1.568615918,110.592,1.686865331,0.043402778,-2.263034406,0.441884576,0.195261979,0.664743993,-0.340620619
15.6,0.476731295,8.2,3333.89,4.93,13.9,1589.369696,2.350285282,6.626564995,3.909196616,27337.898,40.426,113.98,16436.0777,46341.071,68.527,4.4,0.643452676,19.36,2.097617696,0.227272727,1.481604541,85.184,1.638642541,0.051652893,-2.137503524,0.467835486,0.218870042,0.683985004,-0.321726338
16.4,0.527046277,7.9,3449,5.26,13.9,1817.782608,2.772263415,7.325943246,4.163665586,27247.1,41.554,109.81,18141.74,47941.1,73.114,3.6,0.556302501,12.96,1.897366596,0.277777778,1.280933845,46.656,1.532618865,0.077160494,-1.847996907,0.541126447,0.292817832,0.735612974,-0.27815125
13.8,0.411693485,10.4,3910,4.12,11.4,1609.721526,1.696177157,4.693305727,4.281612242,40664,42.848,118.56,16109.2,44574,46.968,5.9,0.770852012,34.81,2.42899156,0.169491525,1.774952351,205.379,1.806968869,0.028727377,-2.560714954,0.390515937,0.152502697,0.624912744,-0.385426006
